raw_time,text_content
2022-02-09T01:19:14.000Z,MMDA ALERT: Vehicular accident at Ortigas Wilson WB involving 2 motorcycles as of 9:14 AM. 1 occupied. MMDA on site. #mmda
2022-02-09T01:04:13.000Z,MMDA ALERT: Vehicular accident at Elliptical Visayas involving PUJ and bus as of 8:59 AM. 1 occupied. MMDA on site. #mmda
2022-02-09T14:40:50.000Z,MMDA ALERT: Vehicular accident at C5 Libis SB involving 2- Van as of 10:11PM. 1 lane occupied. Assisted by MMDA. #mmda
2022-02-09T12:32:07.000Z,MMDA ALERT: Vehicular accident at Commonwealth Manggahan EB involving motorcycle and pedestrian as of 8:00 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-09T10:46:20.000Z,MMDA ALERT: Vehicular accident at EDSA Aurora Tunnel SB involving car and MC as of 6:28 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-09T07:10:47.000Z,MMDA ALERT: Vehicular accident at C5 Lanuza SB involving van and AUV as of 2:52 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-09T07:09:44.000Z,MMDA ALERT: Vehicular accident at C5 Katipunan NB involving van and truck as of 2:48 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-09T02:34:41.000Z,MMDA ALERT: Vehicular accident at C5 SM Pasig SB involving motorcycle and AUV as of 10:24 AM. 1 occupied. MMDA on site. #mmda
2022-02-09T01:53:02.000Z,MMDA ALERT: Vehicular accident at Aurora Blvd Araneta EB involving 2 cars as of 9:49 AM. 1 occupied. MMDA on site. #mmda
2022-02-09T01:19:14.000Z,MMDA ALERT: Vehicular accident at Ortigas Wilson WB involving 2 motorcycles as of 9:14 AM. 1 occupied. MMDA on site. #mmda
2022-02-09T01:04:13.000Z,MMDA ALERT: Vehicular accident at Elliptical Visayas involving PUJ and bus as of 8:59 AM. 1 occupied. MMDA on site. #mmda
2022-02-09T00:39:15.000Z,MMDA ALERT: Vehicular accident at Roxas Katigbak NB involving 2 SUV as of 8:33 AM. 1 occupied. MMDA on site. #mmda
